Source;Target
1;2
1;4
1;5
1;6
1;8
1;10
1;13
1;16
1;17
1;21
1;22
1;23
1;26
1;27
1;28
1;29
1;30
1;32
1;35
1;36
1;37
1;39
1;44
1;46
1;47
1;49
1;50
2;3
2;5
2;6
2;7
2;9
2;11
2;14
2;17
2;18
2;22
2;23
2;24
2;27
2;28
2;29
2;30
2;31
2;33
2;36
2;37
2;38
2;40
2;45
2;47
2;48
2;50
2;51
3;4
3;6
3;7
3;8
3;10
3;12
3;15
3;18
3;19
3;23
3;24
3;25
3;28
3;29
3;30
3;31
3;32
3;34
3;37
3;38
3;39
3;41
3;46
3;48
3;49
3;51
3;52
4;5
4;7
4;8
4;9
4;11
4;13
4;16
4;19
4;20
4;24
4;25
4;26
4;29
4;30
4;31
4;32
4;33
4;35
4;38
4;39
4;40
4;42
4;47
4;49
4;50
4;52
4;53
5;6
5;8
5;9
5;10
5;12
5;14
5;17
5;20
5;21
5;25
5;26
5;27
5;30
5;31
5;32
5;33
5;34
5;36
5;39
5;40
5;41
5;43
5;48
5;50
5;51
5;53
5;54
6;7
6;9
6;10
6;11
6;13
6;15
6;18
6;21
6;22
6;26
6;27
6;28
6;31
6;32
6;33
6;34
6;35
6;37
6;40
6;41
6;42
6;44
6;49
6;51
6;52
6;54
6;55
7;8
7;10
7;11
7;12
7;14
7;16
7;19
7;22
7;23
7;27
7;28
7;29
7;32
7;33
7;34
7;35
7;36
7;38
7;41
7;42
7;43
7;45
7;50
7;52
7;53
7;55
7;56
8;9
8;11
8;12
8;13
8;15
8;17
8;20
8;23
8;24
8;28
8;29
8;30
8;33
8;34
8;35
8;36
8;37
8;39
8;42
8;43
8;44
8;46
8;51
8;53
8;54
8;56
8;57
9;10
9;12
9;13
9;14
9;16
9;18
9;21
9;24
9;25
9;29
9;30
9;31
9;34
9;35
9;36
9;37
9;38
9;40
9;43
9;44
9;45
9;47
9;52
9;54
9;55
9;57
9;58
10;11
10;13
10;14
10;15
10;17
10;19
10;22
10;25
10;26
10;30
10;31
10;32
10;35
10;36
10;37
10;38
10;39
10;41
10;44
10;45
10;46
10;48
10;53
10;55
10;56
10;58
10;59
11;12
11;14
11;15
11;16
11;18
11;20
11;23
11;26
11;27
11;31
11;32
11;33
11;36
11;37
11;38
11;39
11;40
11;42
11;45
11;46
11;47
11;49
11;54
11;56
11;57
11;59
11;60
12;13
12;15
12;16
12;17
12;19
12;21
12;24
12;27
12;28
12;32
12;33
12;34
12;37
12;38
12;39
12;40
12;41
12;43
12;46
12;47
12;48
12;50
12;55
12;57
12;58
12;60
12;61
13;14
13;16
13;17
13;18
13;20
13;22
13;25
13;28
13;29
13;33
13;34
13;35
13;38
13;39
13;40
13;41
13;42
13;44
13;47
13;48
13;49
13;51
13;56
13;58
13;59
13;61
13;62
14;15
14;17
14;18
14;19
14;21
14;23
14;26
14;29
14;30
14;34
14;35
14;36
14;39
14;40
14;41
14;42
14;43
14;45
14;48
14;49
14;50
14;52
14;57
14;59
14;60
14;62
14;63
15;16
15;18
15;19
15;20
15;22
15;24
15;27
15;30
15;31
15;35
15;36
15;37
15;40
15;41
15;42
15;43
15;44
15;46
15;49
15;50
15;51
15;53
15;58
15;60
15;61
15;63
15;64
16;17
16;19
16;20
16;21
16;23
16;25
16;28
16;31
16;32
16;36
16;37
16;38
16;41
16;42
16;43
16;44
16;45
16;47
16;50
16;51
16;52
16;54
16;59
16;61
16;62
16;64
16;65
17;18
17;20
17;21
17;22
17;24
17;26
17;29
17;32
17;33
17;37
17;38
17;39
17;42
17;43
17;44
17;45
17;46
17;48
17;51
17;52
17;53
17;55
17;60
17;62
17;63
17;65
17;66
18;19
18;21
18;22
18;23
18;25
18;27
18;30
18;33
18;34
18;38
18;39
18;40
18;43
18;44
18;45
