Source;Target
1;2
1;3
1;5
1;9
1;10
1;12
1;14
1;16
1;17
1;18
1;19
1;20
1;22
1;23
1;26
1;27
1;31
1;32
1;33
1;35
1;36
1;37
1;38
1;39
1;42
1;43
1;45
1;48
1;50
1;51
1;53
1;61
1;62
1;63
2;3
2;4
2;6
2;10
2;11
2;13
2;15
2;17
2;18
2;19
2;20
2;21
2;23
2;24
2;27
2;28
2;32
2;33
2;34
2;36
2;37
2;38
2;39
2;40
2;43
2;44
2;46
2;49
2;51
2;52
2;54
2;62
2;63
2;64
3;4
3;5
3;7
3;11
3;12
3;14
3;16
3;18
3;19
3;20
3;21
3;22
3;24
3;25
3;28
3;29
3;33
3;34
3;35
3;37
3;38
3;39
3;40
3;41
3;44
3;45
3;47
3;50
3;52
3;53
3;55
3;63
3;64
3;65
4;5
4;6
4;8
4;12
4;13
4;15
4;17
4;19
4;20
4;21
4;22
4;23
4;25
4;26
4;29
4;30
4;34
4;35
4;36
4;38
4;39
4;40
4;41
4;42
4;45
4;46
4;48
4;51
4;53
4;54
4;56
4;64
4;65
4;66
5;6
5;7
5;9
5;13
5;14
5;16
5;18
5;20
5;21
5;22
5;23
5;24
5;26
5;27
5;30
5;31
5;35
5;36
5;37
5;39
5;40
5;41
5;42
5;43
5;46
5;47
5;49
5;52
5;54
5;55
5;57
5;65
5;66
5;67
6;7
6;8
6;10
6;14
6;15
6;17
6;19
6;21
6;22
6;23
6;24
6;25
6;27
6;28
6;31
6;32
6;36
6;37
6;38
6;40
6;41
6;42
6;43
6;44
6;47
6;48
6;50
6;53
6;55
6;56
6;58
6;66
6;67
6;68
7;8
7;9
7;11
7;15
7;16
7;18
7;20
7;22
7;23
7;24
7;25
7;26
7;28
7;29
7;32
7;33
7;37
7;38
7;39
7;41
7;42
7;43
7;44
7;45
7;48
7;49
7;51
7;54
7;56
7;57
7;59
7;67
7;68
7;69
8;9
8;10
8;12
8;16
8;17
8;19
8;21
8;23
8;24
8;25
8;26
8;27
8;29
8;30
8;33
8;34
8;38
8;39
8;40
8;42
8;43
8;44
8;45
8;46
8;49
8;50
8;52
8;55
8;57
8;58
8;60
8;68
8;69
8;70
9;10
9;11
9;13
9;17
9;18
9;20
9;22
9;24
9;25
9;26
9;27
9;28
9;30
9;31
9;34
9;35
9;39
9;40
9;41
9;43
9;44
9;45
9;46
9;47
9;50
9;51
9;53
9;56
9;58
9;59
9;61
9;69
9;70
9;71
10;11
10;12
10;14
10;18
10;19
10;21
10;23
10;25
10;26
10;27
10;28
10;29
10;31
10;32
10;35
10;36
10;40
10;41
10;42
10;44
10;45
10;46
10;47
10;48
10;51
10;52
10;54
10;57
10;59
10;60
10;62
10;70
10;71
10;72
11;12
11;13
11;15
11;19
11;20
11;22
11;24
11;26
11;27
11;28
11;29
11;30
11;32
11;33
11;36
11;37
11;41
11;42
11;43
11;45
11;46
11;47
11;48
11;49
11;52
11;53
11;55
11;58
11;60
11;61
11;63
11;71
11;72
11;73
12;13
12;14
12;16
12;20
12;21
12;23
12;25
12;27
12;28
12;29
12;30
12;31
12;33
12;34
12;37
12;38
12;42
12;43
12;44
12;46
12;47
12;48
12;49
12;50
12;53
12;54
12;56
12;59
12;61
12;62
12;64
12;72
12;73
12;74
13;14
13;15
13;17
13;21
13;22
13;24
13;26
13;28
13;29
13;30
13;31
13;32
13;34
13;35
13;38
13;39
13;43
13;44
13;45
13;47
13;48
13;49
13;50
13;51
13;54
13;55
13;57
