Source;Target
1;2
1;5
1;6
1;7
1;8
1;10
2;3
2;6
2;7
2;8
2;9
2;11
3;4
3;7
3;8
3;9
3;10
3;12
4;5
4;8
4;9
4;10
4;11
4;13
5;6
5;9
5;10
5;11
5;12
5;14
6;7
6;10
6;11
6;12
6;13
6;15
7;8
7;11
7;12
7;13
7;14
7;16
8;9
8;12
8;13
8;14
8;15
8;17
9;10
9;13
9;14
9;15
9;16
9;18
10;11
10;14
10;15
10;16
10;17
10;19
11;12
11;15
11;16
11;17
11;18
11;1
12;13
12;16
12;17
12;18
12;19
12;2
13;14
13;17
13;18
13;19
13;1
13;3
14;15
14;18
14;19
14;1
14;2
14;4
15;16
15;19
15;1
15;2
15;3
15;5
16;17
16;1
16;2
16;3
16;4
16;6
17;18
17;2
17;3
17;4
17;5
17;7
18;19
18;3
18;4
18;5
18;6
18;8
19;1
19;4
19;5
19;6
19;7
19;9
