Source;Target
1;2
1;3
1;4
1;5
1;7
1;9
1;10
2;3
2;4
2;5
2;6
2;8
2;10
2;11
3;4
3;5
3;6
3;7
3;9
3;11
3;12
4;5
4;6
4;7
4;8
4;10
4;12
4;13
5;6
5;7
5;8
5;9
5;11
5;13
5;14
6;7
6;8
6;9
6;10
6;12
6;14
6;15
7;8
7;9
7;10
7;11
7;13
7;15
7;16
8;9
8;10
8;11
8;12
8;14
8;16
8;17
9;10
9;11
9;12
9;13
9;15
9;17
9;18
10;11
10;12
10;13
10;14
10;16
10;18
10;19
11;12
11;13
11;14
11;15
11;17
11;19
11;20
12;13
12;14
12;15
12;16
12;18
12;20
12;21
13;14
13;15
13;16
13;17
13;19
13;21
13;22
14;15
14;16
14;17
14;18
14;20
14;22
14;23
15;16
15;17
15;18
15;19
15;21
15;23
15;1
16;17
16;18
16;19
16;20
16;22
16;1
16;2
17;18
17;19
17;20
17;21
17;23
17;2
17;3
18;19
18;20
18;21
18;22
18;1
18;3
18;4
19;20
19;21
19;22
19;23
19;2
19;4
19;5
20;21
20;22
20;23
20;1
20;3
20;5
20;6
21;22
21;23
21;1
21;2
21;4
21;6
21;7
22;23
22;1
22;2
22;3
22;5
22;7
22;8
23;1
23;2
23;3
23;4
23;6
23;8
23;9
