Source;Target
1;2
1;3
1;5
1;6
1;8
1;9
1;10
1;11
1;15
2;3
2;4
2;6
2;7
2;9
2;10
2;11
2;12
2;16
3;4
3;5
3;7
3;8
3;10
3;11
3;12
3;13
3;17
4;5
4;6
4;8
4;9
4;11
4;12
4;13
4;14
4;18
5;6
5;7
5;9
5;10
5;12
5;13
5;14
5;15
5;19
6;7
6;8
6;10
6;11
6;13
6;14
6;15
6;16
6;20
7;8
7;9
7;11
7;12
7;14
7;15
7;16
7;17
7;21
8;9
8;10
8;12
8;13
8;15
8;16
8;17
8;18
8;22
9;10
9;11
9;13
9;14
9;16
9;17
9;18
9;19
9;23
10;11
10;12
10;14
10;15
10;17
10;18
10;19
10;20
10;24
11;12
11;13
11;15
11;16
11;18
11;19
11;20
11;21
11;25
12;13
12;14
12;16
12;17
12;19
12;20
12;21
12;22
12;26
13;14
13;15
13;17
13;18
13;20
13;21
13;22
13;23
13;27
14;15
14;16
14;18
14;19
14;21
14;22
14;23
14;24
14;28
15;16
15;17
15;19
15;20
15;22
15;23
15;24
15;25
15;29
16;17
16;18
16;20
16;21
16;23
16;24
16;25
16;26
16;30
17;18
17;19
17;21
17;22
17;24
17;25
17;26
17;27
17;31
18;19
18;20
18;22
18;23
18;25
18;26
18;27
18;28
18;1
19;20
19;21
19;23
19;24
19;26
19;27
19;28
19;29
19;2
20;21
20;22
20;24
20;25
20;27
20;28
20;29
20;30
20;3
21;22
21;23
21;25
21;26
21;28
21;29
21;30
21;31
21;4
22;23
22;24
22;26
22;27
22;29
22;30
22;31
22;1
22;5
23;24
23;25
23;27
23;28
23;30
23;31
23;1
23;2
23;6
24;25
24;26
24;28
24;29
24;31
24;1
24;2
24;3
24;7
25;26
25;27
25;29
25;30
25;1
25;2
25;3
25;4
25;8
26;27
26;28
26;30
26;31
26;2
26;3
26;4
26;5
26;9
27;28
27;29
27;31
27;1
27;3
27;4
27;5
27;6
27;10
28;29
28;30
28;1
28;2
28;4
28;5
28;6
28;7
28;11
29;30
29;31
29;2
29;3
29;5
29;6
29;7
29;8
29;12
30;31
30;1
30;3
30;4
30;6
30;7
30;8
30;9
30;13
31;1
31;2
31;4
31;5
31;7
31;8
31;9
31;10
31;14
