Source;Target
1;2
1;3
1;5
1;6
1;9
1;10
1;11
1;17
1;19
1;21
2;3
2;4
2;6
2;7
2;10
2;11
2;12
2;18
2;20
2;22
3;4
3;5
3;7
3;8
3;11
3;12
3;13
3;19
3;21
3;23
4;5
4;6
4;8
4;9
4;12
4;13
4;14
4;20
4;22
4;24
5;6
5;7
5;9
5;10
5;13
5;14
5;15
5;21
5;23
5;25
6;7
6;8
6;10
6;11
6;14
6;15
6;16
6;22
6;24
6;26
7;8
7;9
7;11
7;12
7;15
7;16
7;17
7;23
7;25
7;27
8;9
8;10
8;12
8;13
8;16
8;17
8;18
8;24
8;26
8;28
9;10
9;11
9;13
9;14
9;17
9;18
9;19
9;25
9;27
9;29
10;11
10;12
10;14
10;15
10;18
10;19
10;20
10;26
10;28
10;30
11;12
11;13
11;15
11;16
11;19
11;20
11;21
11;27
11;29
11;31
12;13
12;14
12;16
12;17
12;20
12;21
12;22
12;28
12;30
12;32
13;14
13;15
13;17
13;18
13;21
13;22
13;23
13;29
13;31
13;33
14;15
14;16
14;18
14;19
14;22
14;23
14;24
14;30
14;32
14;34
15;16
15;17
15;19
15;20
15;23
15;24
15;25
15;31
15;33
15;35
16;17
16;18
16;20
16;21
16;24
16;25
16;26
16;32
16;34
16;36
17;18
17;19
17;21
17;22
17;25
17;26
17;27
17;33
17;35
17;37
18;19
18;20
18;22
18;23
18;26
18;27
18;28
18;34
18;36
18;38
19;20
19;21
19;23
19;24
19;27
19;28
19;29
19;35
19;37
19;39
20;21
20;22
20;24
20;25
20;28
20;29
20;30
20;36
20;38
20;40
21;22
21;23
21;25
21;26
21;29
21;30
21;31
21;37
21;39
21;41
22;23
22;24
22;26
22;27
22;30
22;31
22;32
22;38
22;40
22;1
23;24
23;25
23;27
23;28
23;31
23;32
23;33
23;39
23;41
23;2
24;25
24;26
24;28
24;29
24;32
24;33
24;34
24;40
24;1
24;3
25;26
25;27
25;29
25;30
25;33
25;34
25;35
25;41
25;2
25;4
26;27
26;28
26;30
26;31
26;34
26;35
26;36
26;1
26;3
26;5
27;28
27;29
27;31
27;32
27;35
27;36
27;37
27;2
27;4
27;6
28;29
28;30
28;32
28;33
28;36
28;37
28;38
28;3
28;5
28;7
29;30
29;31
29;33
29;34
29;37
29;38
29;39
29;4
29;6
29;8
30;31
30;32
30;34
30;35
30;38
30;39
30;40
30;5
30;7
30;9
31;32
31;33
31;35
31;36
31;39
31;40
31;41
31;6
31;8
31;10
32;33
32;34
32;36
32;37
32;40
32;41
32;1
32;7
32;9
32;11
33;34
33;35
33;37
33;38
33;41
33;1
33;2
33;8
33;10
33;12
34;35
34;36
34;38
34;39
34;1
34;2
34;3
34;9
34;11
34;13
35;36
35;37
35;39
35;40
35;2
35;3
35;4
35;10
35;12
35;14
36;37
36;38
36;40
36;41
36;3
36;4
36;5
36;11
36;13
36;15
37;38
37;39
37;41
37;1
37;4
37;5
37;6
37;12
37;14
37;16
38;39
38;40
38;1
38;2
38;5
38;6
38;7
38;13
38;15
38;17
39;40
39;41
39;2
39;3
39;6
39;7
39;8
39;14
39;16
39;18
40;41
40;1
40;3
40;4
40;7
40;8
40;9
40;15
40;17
40;19
41;1
41;2
41;4
41;5
41;8
41;9
41;10
41;16
41;18
41;20
