Source;Target
1;2
1;5
1;7
1;10
1;11
1;12
1;14
1;15
1;16
1;17
1;18
1;22
2;3
2;6
2;8
2;11
2;12
2;13
2;15
2;16
2;17
2;18
2;19
2;23
3;4
3;7
3;9
3;12
3;13
3;14
3;16
3;17
3;18
3;19
3;20
3;24
4;5
4;8
4;10
4;13
4;14
4;15
4;17
4;18
4;19
4;20
4;21
4;25
5;6
5;9
5;11
5;14
5;15
5;16
5;18
5;19
5;20
5;21
5;22
5;26
6;7
6;10
6;12
6;15
6;16
6;17
6;19
6;20
6;21
6;22
6;23
6;27
7;8
7;11
7;13
7;16
7;17
7;18
7;20
7;21
7;22
7;23
7;24
7;28
8;9
8;12
8;14
8;17
8;18
8;19
8;21
8;22
8;23
8;24
8;25
8;29
9;10
9;13
9;15
9;18
9;19
9;20
9;22
9;23
9;24
9;25
9;26
9;30
10;11
10;14
10;16
10;19
10;20
10;21
10;23
10;24
10;25
10;26
10;27
10;31
11;12
11;15
11;17
11;20
11;21
11;22
11;24
11;25
11;26
11;27
11;28
11;32
12;13
12;16
12;18
12;21
12;22
12;23
12;25
12;26
12;27
12;28
12;29
12;33
13;14
13;17
13;19
13;22
13;23
13;24
13;26
13;27
13;28
13;29
13;30
13;34
14;15
14;18
14;20
14;23
14;24
14;25
14;27
14;28
14;29
14;30
14;31
14;35
15;16
15;19
15;21
15;24
15;25
15;26
15;28
15;29
15;30
15;31
15;32
15;36
16;17
16;20
16;22
16;25
16;26
16;27
16;29
16;30
16;31
16;32
16;33
16;37
17;18
17;21
17;23
17;26
17;27
17;28
17;30
17;31
17;32
17;33
17;34
17;38
18;19
18;22
18;24
18;27
18;28
18;29
18;31
18;32
18;33
18;34
18;35
18;39
19;20
19;23
19;25
19;28
19;29
19;30
19;32
19;33
19;34
19;35
19;36
19;40
20;21
20;24
20;26
20;29
20;30
20;31
20;33
20;34
20;35
20;36
20;37
20;41
21;22
21;25
21;27
21;30
21;31
21;32
21;34
21;35
21;36
21;37
21;38
21;42
22;23
22;26
22;28
22;31
22;32
22;33
22;35
22;36
22;37
22;38
22;39
22;43
23;24
23;27
23;29
23;32
23;33
23;34
23;36
23;37
23;38
23;39
23;40
23;1
24;25
24;28
24;30
24;33
24;34
24;35
24;37
24;38
24;39
24;40
24;41
24;2
25;26
25;29
25;31
25;34
25;35
25;36
25;38
25;39
25;40
25;41
25;42
25;3
26;27
26;30
26;32
26;35
26;36
26;37
26;39
26;40
26;41
26;42
26;43
26;4
27;28
27;31
27;33
27;36
27;37
27;38
27;40
27;41
27;42
27;43
27;1
27;5
28;29
28;32
28;34
28;37
28;38
28;39
28;41
28;42
28;43
28;1
28;2
28;6
29;30
29;33
29;35
29;38
29;39
29;40
29;42
29;43
29;1
29;2
29;3
29;7
30;31
30;34
30;36
30;39
30;40
30;41
30;43
30;1
30;2
30;3
30;4
30;8
31;32
31;35
31;37
31;40
31;41
31;42
31;1
31;2
31;3
31;4
31;5
31;9
32;33
32;36
32;38
32;41
32;42
32;43
32;2
32;3
32;4
32;5
32;6
32;10
33;34
33;37
33;39
33;42
33;43
33;1
33;3
33;4
33;5
33;6
33;7
33;11
34;35
34;38
34;40
34;43
34;1
34;2
34;4
34;5
34;6
34;7
34;8
34;12
35;36
35;39
35;41
35;1
35;2
35;3
35;5
35;6
35;7
35;8
35;9
35;13
36;37
36;40
36;42
36;2
36;3
36;4
36;6
36;7
36;8
36;9
36;10
36;14
37;38
37;41
37;43
37;3
37;4
37;5
37;7
37;8
37;9
37;10
37;11
37;15
38;39
38;42
38;1
38;4
38;5
38;6
38;8
38;9
38;10
38;11
38;12
38;16
39;40
39;43
39;2
39;5
39;6
39;7
39;9
39;10
39;11
39;12
39;13
39;17
40;41
40;1
40;3
40;6
40;7
40;8
40;10
40;11
40;12
40;13
40;14
40;18
41;42
41;2
41;4
41;7
41;8
41;9
41;11
41;12
41;13
41;14
41;15
41;19
42;43
42;3
42;5
42;8
42;9
42;10
42;12
42;13
42;14
42;15
42;16
42;20
43;1
43;4
43;6
43;9
43;10
43;11
43;13
43;14
43;15
43;16
43;17
43;21
