Source;Target
1;2
1;4
1;5
1;6
1;8
1;10
1;13
1;16
1;17
1;18
1;20
1;21
1;22
1;23
1;26
1;27
1;28
1;29
1;30
2;3
2;5
2;6
2;7
2;9
2;11
2;14
2;17
2;18
2;19
2;21
2;22
2;23
2;24
2;27
2;28
2;29
2;30
2;31
3;4
3;6
3;7
3;8
3;10
3;12
3;15
3;18
3;19
3;20
3;22
3;23
3;24
3;25
3;28
3;29
3;30
3;31
3;32
4;5
4;7
4;8
4;9
4;11
4;13
4;16
4;19
4;20
4;21
4;23
4;24
4;25
4;26
4;29
4;30
4;31
4;32
4;33
5;6
5;8
5;9
5;10
5;12
5;14
5;17
5;20
5;21
5;22
5;24
5;25
5;26
5;27
5;30
5;31
5;32
5;33
5;34
6;7
6;9
6;10
6;11
6;13
6;15
6;18
6;21
6;22
6;23
6;25
6;26
6;27
6;28
6;31
6;32
6;33
6;34
6;35
7;8
7;10
7;11
7;12
7;14
7;16
7;19
7;22
7;23
7;24
7;26
7;27
7;28
7;29
7;32
7;33
7;34
7;35
7;36
8;9
8;11
8;12
8;13
8;15
8;17
8;20
8;23
8;24
8;25
8;27
8;28
8;29
8;30
8;33
8;34
8;35
8;36
8;37
9;10
9;12
9;13
9;14
9;16
9;18
9;21
9;24
9;25
9;26
9;28
9;29
9;30
9;31
9;34
9;35
9;36
9;37
9;38
10;11
10;13
10;14
10;15
10;17
10;19
10;22
10;25
10;26
10;27
10;29
10;30
10;31
10;32
10;35
10;36
10;37
10;38
10;39
11;12
11;14
11;15
11;16
11;18
11;20
11;23
11;26
11;27
11;28
11;30
11;31
11;32
11;33
11;36
11;37
11;38
11;39
11;40
12;13
12;15
12;16
12;17
12;19
12;21
12;24
12;27
12;28
12;29
12;31
12;32
12;33
12;34
12;37
12;38
12;39
12;40
12;41
13;14
13;16
13;17
13;18
13;20
13;22
13;25
13;28
13;29
13;30
13;32
13;33
13;34
13;35
13;38
13;39
13;40
13;41
13;42
14;15
14;17
14;18
14;19
14;21
14;23
14;26
14;29
14;30
14;31
14;33
14;34
14;35
14;36
14;39
14;40
14;41
14;42
14;43
15;16
15;18
15;19
15;20
15;22
15;24
15;27
15;30
15;31
15;32
15;34
15;35
15;36
15;37
15;40
15;41
15;42
15;43
15;44
16;17
16;19
16;20
16;21
16;23
16;25
16;28
16;31
16;32
16;33
16;35
16;36
16;37
16;38
16;41
16;42
16;43
16;44
16;45
17;18
17;20
17;21
17;22
17;24
17;26
17;29
17;32
17;33
17;34
17;36
17;37
17;38
17;39
17;42
17;43
17;44
17;45
17;46
18;19
18;21
18;22
18;23
18;25
18;27
18;30
18;33
18;34
18;35
18;37
18;38
18;39
18;40
18;43
18;44
18;45
18;46
18;47
19;20
19;22
19;23
19;24
19;26
19;28
19;31
19;34
19;35
19;36
19;38
19;39
19;40
19;41
19;44
19;45
19;46
19;47
19;48
20;21
20;23
20;24
20;25
20;27
20;29
20;32
20;35
20;36
20;37
20;39
20;40
20;41
20;42
20;45
20;46
20;47
20;48
20;49
21;22
21;24
21;25
21;26
21;28
21;30
21;33
21;36
21;37
21;38
21;40
21;41
21;42
21;43
21;46
21;47
21;48
21;49
21;50
22;23
22;25
22;26
22;27
22;29
22;31
22;34
22;37
22;38
22;39
22;41
22;42
22;43
22;44
22;47
22;48
22;49
22;50
22;51
23;24
23;26
23;27
23;28
23;30
23;32
23;35
23;38
23;39
23;40
23;42
23;43
23;44
23;45
23;48
23;49
23;50
23;51
23;52
24;25
24;27
24;28
24;29
24;31
24;33
24;36
24;39
24;40
24;41
24;43
24;44
24;45
24;46
24;49
24;50
24;51
24;52
24;53
25;26
25;28
25;29
25;30
25;32
25;34
25;37
25;40
25;41
25;42
25;44
25;45
25;46
25;47
25;50
25;51
25;52
25;53
