Source;Target
1;2
1;4
1;5
1;6
1;10
1;13
1;14
1;15
1;16
1;17
1;20
1;21
1;23
1;26
1;28
2;3
2;5
2;6
2;7
2;11
2;14
2;15
2;16
2;17
2;18
2;21
2;22
2;24
2;27
2;29
3;4
3;6
3;7
3;8
3;12
3;15
3;16
3;17
3;18
3;19
3;22
3;23
3;25
3;28
3;30
4;5
4;7
4;8
4;9
4;13
4;16
4;17
4;18
4;19
4;20
4;23
4;24
4;26
4;29
4;31
5;6
5;8
5;9
5;10
5;14
5;17
5;18
5;19
5;20
5;21
5;24
5;25
5;27
5;30
5;32
6;7
6;9
6;10
6;11
6;15
6;18
6;19
6;20
6;21
6;22
6;25
6;26
6;28
6;31
6;33
7;8
7;10
7;11
7;12
7;16
7;19
7;20
7;21
7;22
7;23
7;26
7;27
7;29
7;32
7;34
8;9
8;11
8;12
8;13
8;17
8;20
8;21
8;22
8;23
8;24
8;27
8;28
8;30
8;33
8;35
9;10
9;12
9;13
9;14
9;18
9;21
9;22
9;23
9;24
9;25
9;28
9;29
9;31
9;34
9;36
10;11
10;13
10;14
10;15
10;19
10;22
10;23
10;24
10;25
10;26
10;29
10;30
10;32
10;35
10;37
11;12
11;14
11;15
11;16
11;20
11;23
11;24
11;25
11;26
11;27
11;30
11;31
11;33
11;36
11;38
12;13
12;15
12;16
12;17
12;21
12;24
12;25
12;26
12;27
12;28
12;31
12;32
12;34
12;37
12;39
13;14
13;16
13;17
13;18
13;22
13;25
13;26
13;27
13;28
13;29
13;32
13;33
13;35
13;38
13;40
14;15
14;17
14;18
14;19
14;23
14;26
14;27
14;28
14;29
14;30
14;33
14;34
14;36
14;39
14;41
15;16
15;18
15;19
15;20
15;24
15;27
15;28
15;29
15;30
15;31
15;34
15;35
15;37
15;40
15;42
16;17
16;19
16;20
16;21
16;25
16;28
16;29
16;30
16;31
16;32
16;35
16;36
16;38
16;41
16;43
17;18
17;20
17;21
17;22
17;26
17;29
17;30
17;31
17;32
17;33
17;36
17;37
17;39
17;42
17;44
18;19
18;21
18;22
18;23
18;27
18;30
18;31
18;32
18;33
18;34
18;37
18;38
18;40
18;43
18;45
19;20
19;22
19;23
19;24
19;28
19;31
19;32
19;33
19;34
19;35
19;38
19;39
19;41
19;44
19;46
20;21
20;23
20;24
20;25
20;29
20;32
20;33
20;34
20;35
20;36
20;39
20;40
20;42
20;45
20;47
21;22
21;24
21;25
21;26
21;30
21;33
21;34
21;35
21;36
21;37
21;40
21;41
21;43
21;46
21;48
22;23
22;25
22;26
22;27
22;31
22;34
22;35
22;36
22;37
22;38
22;41
22;42
22;44
22;47
22;49
23;24
23;26
23;27
23;28
23;32
23;35
23;36
23;37
23;38
23;39
23;42
23;43
23;45
23;48
23;50
24;25
24;27
24;28
24;29
24;33
24;36
24;37
24;38
24;39
24;40
24;43
24;44
24;46
24;49
24;51
25;26
25;28
25;29
25;30
25;34
25;37
25;38
25;39
25;40
25;41
25;44
25;45
25;47
25;50
25;52
26;27
26;29
26;30
26;31
26;35
26;38
26;39
26;40
26;41
26;42
26;45
26;46
26;48
26;51
26;53
27;28
27;30
27;31
27;32
27;36
27;39
27;40
27;41
27;42
27;43
27;46
27;47
27;49
27;52
27;54
28;29
28;31
28;32
28;33
28;37
28;40
28;41
28;42
28;43
28;44
28;47
28;48
28;50
28;53
28;55
29;30
29;32
29;33
29;34
29;38
29;41
29;42
29;43
29;44
29;45
29;48
29;49
29;51
29;54
29;56
30;31
30;33
30;34
30;35
30;39
30;42
30;43
30;44
30;45
30;46
30;49
30;50
30;52
30;55
30;57
31;32
31;34
31;35
31;36
31;40
31;43
31;44
31;45
31;46
31;47
31;50
31;51
31;53
31;56
31;58
32;33
32;35
32;36
32;37
32;41
32;44
32;45
32;46
32;47
