Source;Target
1;2
1;3
1;4
1;5
1;6
1;7
1;9
1;10
1;11
1;13
1;16
1;17
1;19
1;20
1;21
1;25
1;26
1;28
1;30
1;31
1;33
2;3
2;4
2;5
2;6
2;7
2;8
2;10
2;11
2;12
2;14
2;17
2;18
2;20
2;21
2;22
2;26
2;27
2;29
2;31
2;32
2;34
3;4
3;5
3;6
3;7
3;8
3;9
3;11
3;12
3;13
3;15
3;18
3;19
3;21
3;22
3;23
3;27
3;28
3;30
3;32
3;33
3;35
4;5
4;6
4;7
4;8
4;9
4;10
4;12
4;13
4;14
4;16
4;19
4;20
4;22
4;23
4;24
4;28
4;29
4;31
4;33
4;34
4;36
5;6
5;7
5;8
5;9
5;10
5;11
5;13
5;14
5;15
5;17
5;20
5;21
5;23
5;24
5;25
5;29
5;30
5;32
5;34
5;35
5;37
6;7
6;8
6;9
6;10
6;11
6;12
6;14
6;15
6;16
6;18
6;21
6;22
6;24
6;25
6;26
6;30
6;31
6;33
6;35
6;36
6;38
7;8
7;9
7;10
7;11
7;12
7;13
7;15
7;16
7;17
7;19
7;22
7;23
7;25
7;26
7;27
7;31
7;32
7;34
7;36
7;37
7;39
8;9
8;10
8;11
8;12
8;13
8;14
8;16
8;17
8;18
8;20
8;23
8;24
8;26
8;27
8;28
8;32
8;33
8;35
8;37
8;38
8;40
9;10
9;11
9;12
9;13
9;14
9;15
9;17
9;18
9;19
9;21
9;24
9;25
9;27
9;28
9;29
9;33
9;34
9;36
9;38
9;39
9;41
10;11
10;12
10;13
10;14
10;15
10;16
10;18
10;19
10;20
10;22
10;25
10;26
10;28
10;29
10;30
10;34
10;35
10;37
10;39
10;40
10;42
11;12
11;13
11;14
11;15
11;16
11;17
11;19
11;20
11;21
11;23
11;26
11;27
11;29
11;30
11;31
11;35
11;36
11;38
11;40
11;41
11;43
12;13
12;14
12;15
12;16
12;17
12;18
12;20
12;21
12;22
12;24
12;27
12;28
12;30
12;31
12;32
12;36
12;37
12;39
12;41
12;42
12;44
13;14
13;15
13;16
13;17
13;18
13;19
13;21
13;22
13;23
13;25
13;28
13;29
13;31
13;32
13;33
13;37
13;38
13;40
13;42
13;43
13;45
14;15
14;16
14;17
14;18
14;19
14;20
14;22
14;23
14;24
14;26
14;29
14;30
14;32
14;33
14;34
14;38
14;39
14;41
14;43
14;44
14;46
15;16
15;17
15;18
15;19
15;20
15;21
15;23
15;24
15;25
15;27
15;30
15;31
15;33
15;34
15;35
15;39
15;40
15;42
15;44
15;45
15;47
16;17
16;18
16;19
16;20
16;21
16;22
16;24
16;25
16;26
16;28
16;31
16;32
16;34
16;35
16;36
16;40
16;41
16;43
16;45
16;46
16;48
17;18
17;19
17;20
17;21
17;22
17;23
17;25
17;26
17;27
17;29
17;32
17;33
17;35
17;36
17;37
17;41
17;42
17;44
17;46
17;47
17;49
18;19
18;20
18;21
18;22
18;23
18;24
18;26
18;27
18;28
18;30
18;33
18;34
18;36
18;37
18;38
18;42
18;43
18;45
18;47
18;48
18;50
19;20
19;21
19;22
19;23
19;24
19;25
19;27
19;28
19;29
19;31
19;34
19;35
19;37
19;38
19;39
19;43
19;44
19;46
19;48
19;49
19;51
20;21
20;22
20;23
20;24
20;25
20;26
20;28
20;29
20;30
20;32
20;35
20;36
20;38
20;39
20;40
20;44
20;45
20;47
20;49
20;50
20;52
21;22
21;23
21;24
21;25
21;26
21;27
21;29
21;30
21;31
21;33
21;36
21;37
21;39
21;40
21;41
