Source;Target
1;2
1;3
1;4
1;5
1;7
1;9
1;10
1;13
1;17
1;19
1;20
1;24
1;25
1;26
1;28
1;33
1;36
1;37
2;3
2;4
2;5
2;6
2;8
2;10
2;11
2;14
2;18
2;20
2;21
2;25
2;26
2;27
2;29
2;34
2;37
2;38
3;4
3;5
3;6
3;7
3;9
3;11
3;12
3;15
3;19
3;21
3;22
3;26
3;27
3;28
3;30
3;35
3;38
3;39
4;5
4;6
4;7
4;8
4;10
4;12
4;13
4;16
4;20
4;22
4;23
4;27
4;28
4;29
4;31
4;36
4;39
4;40
5;6
5;7
5;8
5;9
5;11
5;13
5;14
5;17
5;21
5;23
5;24
5;28
5;29
5;30
5;32
5;37
5;40
5;41
6;7
6;8
6;9
6;10
6;12
6;14
6;15
6;18
6;22
6;24
6;25
6;29
6;30
6;31
6;33
6;38
6;41
6;42
7;8
7;9
7;10
7;11
7;13
7;15
7;16
7;19
7;23
7;25
7;26
7;30
7;31
7;32
7;34
7;39
7;42
7;43
8;9
8;10
8;11
8;12
8;14
8;16
8;17
8;20
8;24
8;26
8;27
8;31
8;32
8;33
8;35
8;40
8;43
8;44
9;10
9;11
9;12
9;13
9;15
9;17
9;18
9;21
9;25
9;27
9;28
9;32
9;33
9;34
9;36
9;41
9;44
9;45
10;11
10;12
10;13
10;14
10;16
10;18
10;19
10;22
10;26
10;28
10;29
10;33
10;34
10;35
10;37
10;42
10;45
10;46
11;12
11;13
11;14
11;15
11;17
11;19
11;20
11;23
11;27
11;29
11;30
11;34
11;35
11;36
11;38
11;43
11;46
11;47
12;13
12;14
12;15
12;16
12;18
12;20
12;21
12;24
12;28
12;30
12;31
12;35
12;36
12;37
12;39
12;44
12;47
12;48
13;14
13;15
13;16
13;17
13;19
13;21
13;22
13;25
13;29
13;31
13;32
13;36
13;37
13;38
13;40
13;45
13;48
13;49
14;15
14;16
14;17
14;18
14;20
14;22
14;23
14;26
14;30
14;32
14;33
14;37
14;38
14;39
14;41
14;46
14;49
14;50
15;16
15;17
15;18
15;19
15;21
15;23
15;24
15;27
15;31
15;33
15;34
15;38
15;39
15;40
15;42
15;47
15;50
15;51
16;17
16;18
16;19
16;20
16;22
16;24
16;25
16;28
16;32
16;34
16;35
16;39
16;40
16;41
16;43
16;48
16;51
16;52
17;18
17;19
17;20
17;21
17;23
17;25
17;26
17;29
17;33
17;35
17;36
17;40
17;41
17;42
17;44
17;49
17;52
17;53
18;19
18;20
18;21
18;22
18;24
18;26
18;27
18;30
18;34
18;36
18;37
18;41
18;42
18;43
18;45
18;50
18;53
18;54
19;20
19;21
19;22
19;23
19;25
19;27
19;28
19;31
19;35
19;37
19;38
19;42
19;43
19;44
19;46
19;51
19;54
19;55
20;21
20;22
20;23
20;24
20;26
20;28
20;29
20;32
20;36
20;38
20;39
20;43
20;44
20;45
20;47
20;52
20;55
20;56
21;22
21;23
21;24
21;25
21;27
21;29
21;30
21;33
21;37
21;39
21;40
21;44
21;45
21;46
21;48
21;53
21;56
21;57
22;23
22;24
22;25
22;26
22;28
22;30
22;31
22;34
22;38
22;40
22;41
22;45
22;46
22;47
22;49
22;54
22;57
22;58
23;24
23;25
23;26
23;27
23;29
23;31
23;32
23;35
23;39
23;41
23;42
23;46
23;47
23;48
23;50
23;55
23;58
23;59
24;25
24;26
24;27
24;28
24;30
24;32
24;33
24;36
24;40
24;42
24;43
24;47
24;48
24;49
24;51
24;56
24;59
24;60
25;26
25;27
25;28
