Source;Target
1;2
1;3
1;5
1;6
1;9
1;10
1;11
1;12
1;14
1;17
1;19
1;20
1;21
1;22
1;23
1;24
1;26
1;27
1;32
1;33
1;37
1;39
2;3
2;4
2;6
2;7
2;10
2;11
2;12
2;13
2;15
2;18
2;20
2;21
2;22
2;23
2;24
2;25
2;27
2;28
2;33
2;34
2;38
2;40
3;4
3;5
3;7
3;8
3;11
3;12
3;13
3;14
3;16
3;19
3;21
3;22
3;23
3;24
3;25
3;26
3;28
3;29
3;34
3;35
3;39
3;41
4;5
4;6
4;8
4;9
4;12
4;13
4;14
4;15
4;17
4;20
4;22
4;23
4;24
4;25
4;26
4;27
4;29
4;30
4;35
4;36
4;40
4;42
5;6
5;7
5;9
5;10
5;13
5;14
5;15
5;16
5;18
5;21
5;23
5;24
5;25
5;26
5;27
5;28
5;30
5;31
5;36
5;37
5;41
5;43
6;7
6;8
6;10
6;11
6;14
6;15
6;16
6;17
6;19
6;22
6;24
6;25
6;26
6;27
6;28
6;29
6;31
6;32
6;37
6;38
6;42
6;44
7;8
7;9
7;11
7;12
7;15
7;16
7;17
7;18
7;20
7;23
7;25
7;26
7;27
7;28
7;29
7;30
7;32
7;33
7;38
7;39
7;43
7;45
8;9
8;10
8;12
8;13
8;16
8;17
8;18
8;19
8;21
8;24
8;26
8;27
8;28
8;29
8;30
8;31
8;33
8;34
8;39
8;40
8;44
8;46
9;10
9;11
9;13
9;14
9;17
9;18
9;19
9;20
9;22
9;25
9;27
9;28
9;29
9;30
9;31
9;32
9;34
9;35
9;40
9;41
9;45
9;47
10;11
10;12
10;14
10;15
10;18
10;19
10;20
10;21
10;23
10;26
10;28
10;29
10;30
10;31
10;32
10;33
10;35
10;36
10;41
10;42
10;46
10;48
11;12
11;13
11;15
11;16
11;19
11;20
11;21
11;22
11;24
11;27
11;29
11;30
11;31
11;32
11;33
11;34
11;36
11;37
11;42
11;43
11;47
11;49
12;13
12;14
12;16
12;17
12;20
12;21
12;22
12;23
12;25
12;28
12;30
12;31
12;32
12;33
12;34
12;35
12;37
12;38
12;43
12;44
12;48
12;50
13;14
13;15
13;17
13;18
13;21
13;22
13;23
13;24
13;26
13;29
13;31
13;32
13;33
13;34
13;35
13;36
13;38
13;39
13;44
13;45
13;49
13;51
14;15
14;16
14;18
14;19
14;22
14;23
14;24
14;25
14;27
14;30
14;32
14;33
14;34
14;35
14;36
14;37
14;39
14;40
14;45
14;46
14;50
14;52
15;16
15;17
15;19
15;20
15;23
15;24
15;25
15;26
15;28
15;31
15;33
15;34
15;35
15;36
15;37
15;38
15;40
15;41
15;46
15;47
15;51
15;53
16;17
16;18
16;20
16;21
16;24
16;25
16;26
16;27
16;29
16;32
16;34
16;35
16;36
16;37
16;38
16;39
16;41
16;42
16;47
16;48
16;52
16;54
17;18
17;19
17;21
17;22
17;25
17;26
17;27
17;28
17;30
17;33
17;35
17;36
17;37
17;38
17;39
17;40
17;42
17;43
17;48
17;49
17;53
17;55
18;19
18;20
18;22
18;23
18;26
18;27
18;28
18;29
18;31
18;34
18;36
18;37
18;38
18;39
18;40
18;41
18;43
18;44
18;49
18;50
18;54
18;56
19;20
19;21
19;23
19;24
19;27
19;28
19;29
19;30
19;32
19;35
19;37
19;38
19;39
19;40
19;41
19;42
19;44
19;45
19;50
19;51
19;55
19;57
20;21
20;22
20;24
20;25
20;28
20;29
20;30
20;31
20;33
20;36
20;38
20;39
20;40
20;41
20;42
20;43
20;45
