Source;Target
1;2
1;4
1;5
1;8
1;10
1;11
1;12
1;13
1;17
1;18
1;22
1;24
1;26
1;27
1;28
1;29
1;30
1;31
1;32
1;34
1;37
1;38
1;39
1;41
1;42
2;3
2;5
2;6
2;9
2;11
2;12
2;13
2;14
2;18
2;19
2;23
2;25
2;27
2;28
2;29
2;30
2;31
2;32
2;33
2;35
2;38
2;39
2;40
2;42
2;43
3;4
3;6
3;7
3;10
3;12
3;13
3;14
3;15
3;19
3;20
3;24
3;26
3;28
3;29
3;30
3;31
3;32
3;33
3;34
3;36
3;39
3;40
3;41
3;43
3;44
4;5
4;7
4;8
4;11
4;13
4;14
4;15
4;16
4;20
4;21
4;25
4;27
4;29
4;30
4;31
4;32
4;33
4;34
4;35
4;37
4;40
4;41
4;42
4;44
4;45
5;6
5;8
5;9
5;12
5;14
5;15
5;16
5;17
5;21
5;22
5;26
5;28
5;30
5;31
5;32
5;33
5;34
5;35
5;36
5;38
5;41
5;42
5;43
5;45
5;46
6;7
6;9
6;10
6;13
6;15
6;16
6;17
6;18
6;22
6;23
6;27
6;29
6;31
6;32
6;33
6;34
6;35
6;36
6;37
6;39
6;42
6;43
6;44
6;46
6;47
7;8
7;10
7;11
7;14
7;16
7;17
7;18
7;19
7;23
7;24
7;28
7;30
7;32
7;33
7;34
7;35
7;36
7;37
7;38
7;40
7;43
7;44
7;45
7;47
7;48
8;9
8;11
8;12
8;15
8;17
8;18
8;19
8;20
8;24
8;25
8;29
8;31
8;33
8;34
8;35
8;36
8;37
8;38
8;39
8;41
8;44
8;45
8;46
8;48
8;49
9;10
9;12
9;13
9;16
9;18
9;19
9;20
9;21
9;25
9;26
9;30
9;32
9;34
9;35
9;36
9;37
9;38
9;39
9;40
9;42
9;45
9;46
9;47
9;49
9;50
10;11
10;13
10;14
10;17
10;19
10;20
10;21
10;22
10;26
10;27
10;31
10;33
10;35
10;36
10;37
10;38
10;39
10;40
10;41
10;43
10;46
10;47
10;48
10;50
10;51
11;12
11;14
11;15
11;18
11;20
11;21
11;22
11;23
11;27
11;28
11;32
11;34
11;36
11;37
11;38
11;39
11;40
11;41
11;42
11;44
11;47
11;48
11;49
11;51
11;52
12;13
12;15
12;16
12;19
12;21
12;22
12;23
12;24
12;28
12;29
12;33
12;35
12;37
12;38
12;39
12;40
12;41
12;42
12;43
12;45
12;48
12;49
12;50
12;52
12;53
13;14
13;16
13;17
13;20
13;22
13;23
13;24
13;25
13;29
13;30
13;34
13;36
13;38
13;39
13;40
13;41
13;42
13;43
13;44
13;46
13;49
13;50
13;51
13;53
13;54
14;15
14;17
14;18
14;21
14;23
14;24
14;25
14;26
14;30
14;31
14;35
14;37
14;39
14;40
14;41
14;42
14;43
14;44
14;45
14;47
14;50
14;51
14;52
14;54
14;55
15;16
15;18
15;19
15;22
15;24
15;25
15;26
15;27
15;31
15;32
15;36
15;38
15;40
15;41
15;42
15;43
15;44
15;45
15;46
15;48
15;51
15;52
15;53
15;55
15;56
16;17
16;19
16;20
16;23
16;25
16;26
16;27
16;28
16;32
16;33
16;37
16;39
16;41
16;42
16;43
16;44
16;45
16;46
16;47
16;49
16;52
16;53
16;54
16;56
16;57
17;18
17;20
17;21
17;24
17;26
17;27
17;28
17;29
17;33
17;34
17;38
17;40
17;42
17;43
17;44
17;45
17;46
17;47
17;48
17;50
17;53
17;54
17;55
17;57
17;58
18;19
18;21
18;22
18;25
18;27
18;28
18;29
18;30
18;34
18;35
18;39
18;41
18;43
18;44
18;45
18;46
18;47
18;48
18;49
18;51
18;54
18;55
18;56
18;58
18;59
19;20
19;22
19;23
19;26
19;28
19;29
19;30
19;31
19;35
19;36
19;40
19;42
19;44
19;45
19;46
19;47
19;48
19;49
19;50
19;52
19;55
19;56
19;57
19;59
