Source;Target
1;2
1;3
1;4
1;5
1;7
1;9
1;10
1;12
1;13
1;17
1;19
1;23
1;25
1;26
1;28
1;32
1;33
1;34
1;36
1;37
1;44
1;45
1;48
1;49
2;3
2;4
2;5
2;6
2;8
2;10
2;11
2;13
2;14
2;18
2;20
2;24
2;26
2;27
2;29
2;33
2;34
2;35
2;37
2;38
2;45
2;46
2;49
2;50
3;4
3;5
3;6
3;7
3;9
3;11
3;12
3;14
3;15
3;19
3;21
3;25
3;27
3;28
3;30
3;34
3;35
3;36
3;38
3;39
3;46
3;47
3;50
3;51
4;5
4;6
4;7
4;8
4;10
4;12
4;13
4;15
4;16
4;20
4;22
4;26
4;28
4;29
4;31
4;35
4;36
4;37
4;39
4;40
4;47
4;48
4;51
4;52
5;6
5;7
5;8
5;9
5;11
5;13
5;14
5;16
5;17
5;21
5;23
5;27
5;29
5;30
5;32
5;36
5;37
5;38
5;40
5;41
5;48
5;49
5;52
5;53
6;7
6;8
6;9
6;10
6;12
6;14
6;15
6;17
6;18
6;22
6;24
6;28
6;30
6;31
6;33
6;37
6;38
6;39
6;41
6;42
6;49
6;50
6;53
6;54
7;8
7;9
7;10
7;11
7;13
7;15
7;16
7;18
7;19
7;23
7;25
7;29
7;31
7;32
7;34
7;38
7;39
7;40
7;42
7;43
7;50
7;51
7;54
7;55
8;9
8;10
8;11
8;12
8;14
8;16
8;17
8;19
8;20
8;24
8;26
8;30
8;32
8;33
8;35
8;39
8;40
8;41
8;43
8;44
8;51
8;52
8;55
8;56
9;10
9;11
9;12
9;13
9;15
9;17
9;18
9;20
9;21
9;25
9;27
9;31
9;33
9;34
9;36
9;40
9;41
9;42
9;44
9;45
9;52
9;53
9;56
9;57
10;11
10;12
10;13
10;14
10;16
10;18
10;19
10;21
10;22
10;26
10;28
10;32
10;34
10;35
10;37
10;41
10;42
10;43
10;45
10;46
10;53
10;54
10;57
10;58
11;12
11;13
11;14
11;15
11;17
11;19
11;20
11;22
11;23
11;27
11;29
11;33
11;35
11;36
11;38
11;42
11;43
11;44
11;46
11;47
11;54
11;55
11;58
11;59
12;13
12;14
12;15
12;16
12;18
12;20
12;21
12;23
12;24
12;28
12;30
12;34
12;36
12;37
12;39
12;43
12;44
12;45
12;47
12;48
12;55
12;56
12;59
12;60
13;14
13;15
13;16
13;17
13;19
13;21
13;22
13;24
13;25
13;29
13;31
13;35
13;37
13;38
13;40
13;44
13;45
13;46
13;48
13;49
13;56
13;57
13;60
13;61
14;15
14;16
14;17
14;18
14;20
14;22
14;23
14;25
14;26
14;30
14;32
14;36
14;38
14;39
14;41
14;45
14;46
14;47
14;49
14;50
14;57
14;58
14;61
14;62
15;16
15;17
15;18
15;19
15;21
15;23
15;24
15;26
15;27
15;31
15;33
15;37
15;39
15;40
15;42
15;46
15;47
15;48
15;50
15;51
15;58
15;59
15;62
15;63
16;17
16;18
16;19
16;20
16;22
16;24
16;25
16;27
16;28
16;32
16;34
16;38
16;40
16;41
16;43
16;47
16;48
16;49
16;51
16;52
16;59
16;60
16;63
16;64
17;18
17;19
17;20
17;21
17;23
17;25
17;26
17;28
17;29
17;33
17;35
17;39
17;41
17;42
17;44
17;48
17;49
17;50
17;52
17;53
17;60
17;61
17;64
17;65
18;19
18;20
18;21
18;22
18;24
18;26
18;27
18;29
18;30
18;34
18;36
18;40
18;42
18;43
18;45
18;49
18;50
18;51
18;53
18;54
18;61
18;62
18;65
18;66
19;20
19;21
19;22
